species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,16.2139490985,10.8092985682,13.5902487785
Br,-1.0000000000,-13.5902469983,-10.8092993763,16.2139501105
Br,-1.0000000000,13.5902473272,-10.8092992537,16.2139501289
Br,-1.0000000000,10.8092994251,-16.2139488163,13.5902487902
Br,-1.0000000000,10.8092994874,-13.5902471333,16.2139502284
Br,-1.0000000000,16.2139490176,-10.8092992930,13.5902487465
Sn,4.0000000000,10.8092990458,-21.6185978282,0.0000000198
Sn,4.0000000000,-10.8092990458,21.6185978282,-0.0000000198
Sn,4.0000000000,-10.8092992075,-21.6185978941,-0.0000000838
Sn,4.0000000000,10.8092992075,21.6185978941,0.0000000838
Sn,4.0000000000,-21.6185982129,10.8092988647,-0.0000000876
Sn,4.0000000000,21.6185982129,-10.8092988647,0.0000000876
Sn,4.0000000000,-0.0000000343,-21.6185978478,10.8092996630
Sn,4.0000000000,0.0000000343,21.6185978478,-10.8092996630
Sn,4.0000000000,-0.0000001274,-21.6185978745,-10.8092997269
Sn,4.0000000000,0.0000001274,21.6185978745,10.8092997269
Sn,4.0000000000,21.6185982938,10.8092989965,0.0000001196
Sn,4.0000000000,-21.6185982938,-10.8092989965,-0.0000001196
Sn,4.0000000000,21.6185982068,0.0000000525,-10.8092995913
Sn,4.0000000000,-21.6185982068,-0.0000000525,10.8092995913
Sn,4.0000000000,-21.6185982999,-0.0000000792,-10.8092997985
Sn,4.0000000000,21.6185982999,0.0000000792,10.8092997985
Sn,4.0000000000,-0.0000000527,10.8092989039,-21.6185993739
Sn,4.0000000000,0.0000000527,-10.8092989039,21.6185993739
Sn,4.0000000000,10.8092990335,0.0000000062,-21.6185993381
Sn,4.0000000000,-10.8092990335,-0.0000000062,21.6185993381
Sn,4.0000000000,-0.0000001336,-10.8092989573,-21.6185994058
Sn,4.0000000000,0.0000001336,10.8092989573,21.6185994058
Sn,4.0000000000,-10.8092992198,-0.0000000597,-21.6185994417
Sn,4.0000000000,10.8092992198,0.0000000597,21.6185994417
Br,-1.0000000000,0.0000004167,24.2422989726,0.0000005959
Br,-1.0000000000,-24.2422994885,-0.0000004186,0.0000004154
Br,-1.0000000000,0.0000002459,-0.0000004488,-24.2422999043
Br,-1.0000000000,-10.8092987068,21.6185974062,-2.6237005342
Br,-1.0000000000,-10.8092987961,21.6185974818,2.6237021301
Br,-1.0000000000,-21.6185978739,10.8092984426,-2.6237006020
Br,-1.0000000000,-2.6237012009,21.6185974951,-10.8092991439
Br,-1.0000000000,2.6237022248,21.6185974703,-10.8092990887
Br,-1.0000000000,10.8092995466,21.6185974720,-2.6237004306
Br,-1.0000000000,-21.6185979632,10.8092985183,2.6237020623
Br,-1.0000000000,10.8092994573,21.6185975477,2.6237022337
Br,-1.0000000000,-21.6185979640,2.6237010322,-10.8092992346
Br,-1.0000000000,-21.6185979547,-10.8092994185,-2.6237006340
Br,-1.0000000000,-2.6237011078,21.6185975218,10.8093002459
Br,-1.0000000000,-21.6185979951,-2.6237021162,-10.8092993301
Br,-1.0000000000,2.6237023180,21.6185974970,10.8093003011
Br,-1.0000000000,-21.6185980440,-10.8092993429,2.6237020303
Br,-1.0000000000,-10.8092989577,-21.6185982405,2.6237020661
Br,-1.0000000000,-2.6237013626,-21.6185982272,-10.8092992079
Br,-1.0000000000,-21.6185978709,2.6237010589,10.8093001552
Br,-1.0000000000,10.8092992956,-21.6185981746,2.6237021697
Br,-1.0000000000,21.6185985436,10.8092986501,2.6237022695
Br,-1.0000000000,-21.6185979020,-2.6237020895,10.8093000597
Br,-1.0000000000,-2.6237012879,10.8092985511,-21.6185988549
Br,-1.0000000000,2.6237021378,10.8092985263,-21.6185987996
Br,-1.0000000000,21.6185984627,-10.8092992111,2.6237022375
Br,-1.0000000000,-2.6237012694,-21.6185982005,10.8093001820
Br,-1.0000000000,-10.8092988839,2.6237010518,-21.6185988778
Br,-1.0000000000,10.8092993694,2.6237011177,-21.6185987742
Br,-1.0000000000,-10.8092989150,-2.6237020966,-21.6185989733
Br,-1.0000000000,-2.6237013688,-10.8092993100,-21.6185988868
Br,-1.0000000000,2.6237020570,-10.8092993348,-21.6185988316
Br,-1.0000000000,10.8092993383,-2.6237020307,-21.6185988697
Br,-1.0000000000,-2.6237011016,10.8092986046,21.6185999249
Br,-1.0000000000,-10.8092986976,2.6237011052,21.6185999020
Br,-1.0000000000,-10.8092987287,-2.6237020432,21.6185998065
Br,-1.0000000000,2.6237023242,10.8092985797,21.6185999801
Br,-1.0000000000,-2.6237011824,-10.8092992566,21.6185998929
Br,-1.0000000000,2.6237022433,-10.8092992814,21.6185999481
Br,-1.0000000000,10.8092995247,-2.6237019773,21.6185999100
Br,-1.0000000000,10.8092995557,2.6237011711,21.6186000056
Br,-1.0000000000,-16.2139482359,16.2139478155,-8.1855977347
Br,-1.0000000000,-8.1855969378,16.2139479978,-16.2139489858
Br,-1.0000000000,-16.2139483514,16.2139479986,8.1855983334
Br,-1.0000000000,-16.2139483353,8.1855965087,-16.2139490883
Br,-1.0000000000,16.2139491441,16.2139479143,-8.1855975793
