species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,-31.8865552485,2.5059536288,-10.6288517193
Br,-1.0000000000,10.6288532580,-2.5059513122,31.8865551225
Br,-1.0000000000,-31.8865550709,2.5059541434,10.6288528601
Br,-1.0000000000,-31.8865553019,10.6288539282,2.5059515456
Br,-1.0000000000,-31.8865551872,-2.5059515213,-10.6288544081
Br,-1.0000000000,-2.5059515468,10.6288540179,31.8865553661
Br,-1.0000000000,-31.8865553666,10.6288537408,-2.5059538104
Br,-1.0000000000,-15.9432768226,-5.3144245648,29.3806010797
Br,-1.0000000000,-5.3144245974,-15.9432773434,29.3806009101
Br,-1.0000000000,5.3144274251,-15.9432775484,29.3806010031
Br,-1.0000000000,-15.9432770253,5.3144280089,29.3806013423
Br,-1.0000000000,15.9432792450,-5.3144251798,29.3806013586
Br,-1.0000000000,15.9432790423,5.3144273939,29.3806016212
Br,-1.0000000000,-15.9432765064,-29.3806033856,5.3144262968
Br,-1.0000000000,-5.3144252055,15.9432803775,29.3806016978
Br,-1.0000000000,-15.9432765952,-29.3806036429,-5.3144259929
Br,-1.0000000000,5.3144268171,15.9432801725,29.3806017908
Br,-1.0000000000,-5.3144243951,-29.3806033333,15.9432786794
Br,-1.0000000000,-29.3806039562,-15.9432775186,5.3144265342
Br,-1.0000000000,-29.3806040450,-15.9432777759,-5.3144257555
Br,-1.0000000000,-5.3144246615,-29.3806041052,-15.9432781897
Br,-1.0000000000,-29.3806043365,-5.3144254596,-15.9432777826
Br,-1.0000000000,5.3144276274,-29.3806035383,15.9432787724
Br,-1.0000000000,-29.3806040701,-5.3144246877,15.9432790865
Br,-1.0000000000,-29.3806045392,5.3144271141,-15.9432775200
Br,-1.0000000000,5.3144273611,-29.3806043102,-15.9432780967
Br,-1.0000000000,15.9432795612,-29.3806040006,5.3144265757
Br,-1.0000000000,15.9432794724,-29.3806042579,-5.3144257140
Br,-1.0000000000,-29.3806042728,5.3144278859,15.9432793491
Br,-1.0000000000,-29.3806046531,15.9432799450,-5.3144249678
Br,-1.0000000000,-29.3806045643,15.9432802023,5.3144273219
Cs,1.0000000000,-23.9149156511,-23.9149171350,2.6572120228
Cs,1.0000000000,-23.9149158789,-2.6572114732,23.9149171273
Cs,1.0000000000,-23.9149159312,2.6572148687,23.9149171516
Cs,1.0000000000,-23.9149158641,-23.9149174337,-2.6572141322
Cs,1.0000000000,-2.6572114284,-23.9149170305,23.9149167881
Cs,1.0000000000,2.6572145997,-23.9149170435,23.9149168169
Br,-1.0000000000,-10.6288505102,-18.4492286270,26.5721286874
Br,-1.0000000000,-10.6288503626,-26.5721300819,18.4492284111
Br,-1.0000000000,-18.4492300573,-10.6288509157,26.5721288034
Br,-1.0000000000,-26.5721287576,-10.6288509237,18.4492303387
Br,-1.0000000000,10.6288535349,-18.4492290370,26.5721288733
Br,-1.0000000000,-26.5721287390,-18.4492328879,10.6288501730
Br,-1.0000000000,10.6288536825,-26.5721304919,18.4492285970
Br,-1.0000000000,-18.4492304627,10.6288542315,26.5721293285
Br,-1.0000000000,-26.5721291305,-10.6288518707,-18.4492321316
Br,-1.0000000000,-26.5721291630,10.6288542236,18.4492308638
Br,-1.0000000000,-10.6288507917,-26.5721310649,-18.4492303205
Br,-1.0000000000,-18.4492323904,-26.5721301010,10.6288500057
Br,-1.0000000000,-26.5721295359,10.6288532765,-18.4492316065
Br,-1.0000000000,10.6288532534,-26.5721314749,-18.4492301346
Br,-1.0000000000,-26.5721289165,-18.4492334024,-10.6288544064
Br,-1.0000000000,18.4492320545,-10.6288516046,26.5721316704
Br,-1.0000000000,-10.6288511749,18.4492316201,26.5721321453
Br,-1.0000000000,-26.5721295684,18.4492359527,-10.6288509594
Br,-1.0000000000,-18.4492325679,-26.5721306156,-10.6288545737
Br,-1.0000000000,10.6288528702,18.4492312101,26.5721323312
Br,-1.0000000000,18.4492316491,10.6288535427,26.5721321955
Br,-1.0000000000,-26.5721293908,18.4492364672,10.6288536200
Br,-1.0000000000,18.4492349691,-26.5721313171,-10.6288516637
Br,-1.0000000000,18.4492351467,-26.5721308026,10.6288529157
Br,-1.0000000000,-26.5721290556,2.8084725167,21.2577029878
Br,-1.0000000000,-26.5721287503,-21.2577039298,2.8084721852
Br,-1.0000000000,-21.2577029381,2.8084767253,26.5721291195
Br,-1.0000000000,-26.5721292518,-2.8084694519,-21.2577037742
Br,-1.0000000000,2.8084741904,-21.2577038994,26.5721287268
Br,-1.0000000000,-26.5721287325,-21.2577040119,-2.8084745032
Br,-1.0000000000,2.8084717435,-26.5721302538,21.2577024814
Br,-1.0000000000,-21.2577026366,-26.5721303454,2.8084741659
Br,-1.0000000000,-26.5721288966,-2.8084684228,21.2577053846
Br,-1.0000000000,-21.2577025627,-26.5721303915,-2.8084762613
Br,-1.0000000000,-2.8084688096,-26.5721301353,21.2577050195
Br,-1.0000000000,-21.2577027920,-2.8084733222,26.5721315272
Br,-1.0000000000,-2.8084691647,-26.5721311644,-21.2577041393
Br,-1.0000000000,-2.8084717879,-21.2577037682,26.5721312219
Br,-1.0000000000,-26.5721295432,21.2577062826,-2.8084734530
Br,-1.0000000000,-26.5721295610,21.2577063647,2.8084732354
Br,-1.0000000000,2.8084733797,21.2577063952,26.5721297770
Br,-1.0000000000,-2.8084725986,21.2577065263,26.5721322721
Ti,4.0000000000,-5.3144257826,-21.2577023696,26.5721279281
Ti,4.0000000000,-21.2577011531,-26.5721292526,5.3144242937
Ti,4.0000000000,-21.2577013809,-5.3144235908,26.5721293982
Ti,4.0000000000,5.3144262399,-21.2577025746,26.5721280211
Ti,4.0000000000,-21.2577012419,-26.5721295099,-5.3144279960
Ti,4.0000000000,-26.5721300052,-21.2577024742,5.3144231628
Ti,4.0000000000,-26.5721286366,-5.3144245592,21.2577038393
Ti,4.0000000000,-21.2577015836,5.3144289828,26.5721296607
Ti,4.0000000000,-26.5721288393,5.3144280144,21.2577041018
Ti,4.0000000000,-5.3144241862,-26.5721301165,21.2577035001
Ti,4.0000000000,-26.5721300940,-21.2577027315,-5.3144291269
Ti,4.0000000000,5.3144278363,-26.5721303215,21.2577035931
Br,-1.0000000000,0.0000014382,-13.1348036808,31.8865547670
Br,-1.0000000000,-13.1348033666,0.0000016493,31.8865550106
Br,-1.0000000000,-31.8865548957,-13.1348038377,-0.0000023810
Br,-1.0000000000,-31.8865550105,0.0000016118,13.1348035728
Br,-1.0000000000,-31.8865552527,0.0000009099,-13.1348063627
Br,-1.0000000000,-31.8865553624,13.1348064597,0.0000008329
Br,-1.0000000000,-31.8865548725,-10.6288511492,8.1228979542
Br,-1.0000000000,-31.8865548682,-8.1228984302,10.6288525975
Br,-1.0000000000,-31.8865550458,-8.1228989448,-10.6288519819
Br,-1.0000000000,8.1229008811,-10.6288513343,31.8865549339
Br,-1.0000000000,-31.8865552123,8.1229015669,10.6288504338
Br,-1.0000000000,-31.8865549853,-10.6288514764,-8.1229012692
Br,-1.0000000000,-10.6288509897,8.1229016715,31.8865551991
Br,-1.0000000000,-31.8865552778,10.6288539981,8.1228984793
Br,-1.0000000000,10.6288530554,8.1229012615,31.8865553851
Br,-1.0000000000,-31.8865553907,10.6288536709,-8.1229007441
Br,-1.0000000000,8.1229004758,10.6288538129,31.8865554590
Br,-1.0000000000,-31.8865553899,8.1229010523,-10.6288541456
Cs,1.0000000000,-29.2293417593,-13.2860641121,13.2860645109
Cs,1.0000000000,-29.2293415359,-18.6004906289,-2.6572139415
Cs,1.0000000000,-23.9149157285,-7.9716377049,23.9149168890
Cs,1.0000000000,-29.2293418051,-18.6004907920,2.6572119750
